Sentence,Label
 Didn`t work for me  Except when I used the word autofollow and got followed by an bot selling an autofollow program.,Negative
"in santa clara a long way from hoe, well not that far. it sure seems like it.",Neutral
 THANK YOU,Positive
 mine pools... just in someone elses pocket,Neutral
OMGoodness back to school soon FUN!,Positive
 Two more tweets to go for 2345 tweets,Neutral
 I didnt get his  tweet,Neutral
_Kartz I`ve been studying for a year now  And 5 years in school...,Neutral
 Hah!  Sparkly ones at that.,Neutral
haha i just watch a funny **** video on youtube  made my day,Positive
": Geez, a cool man like him be the villains. Too bad",Neutral
 i agree with you!,Positive
 i look forward to that. if u ever write 5 Things a Misanthrope Must Do to be at Peace w Humanity i`m up for that as well,Positive
"Grilled again for dinner last night for the senior`s final kairos dinner  Had steak, spicy mango sausages, hot wings, grilled vegi, corn!",Neutral
Off to study!  later guys,Neutral
this thing was more fun with my itouch,Positive
 My Dad told me music that has the power to heal the soul. Sure is true of yours,Positive
" haha, sorry, it`s past my bedtime",Negative
 Your second episode of Sonny WAC was on in New Zealand tonight. You were (and still are) AMAZING! ily  ****,Positive
_Girl OOC sorry we keep missing each other...,Negative
 that blip is NOT to be misconstrued as qs on last night`s convo... it`s just a song i really love & that rocks my morning,Positive
"feels the same way about cherry-flavored items as Shannt does about grapes. Strange, but true.",Neutral
 britains got talent is rather disappointing this year,Negative
: Well that is just completely lame. I`m sorry dude.,Negative
missed iron chef,Negative
"says Finally, Im home.  http://plurk.com/p/rr121",Neutral
Just watched Camp Rock  Eating raspberry ripple icecream. Awesome,Positive
 too short as usual...  but was awesome,Positive
love the sweet g`nights every night,Positive
Woke up after about 6 hours of sleep. Feeling better now,Positive
 FIL 461 with cool people like me,Positive
I would love to sleep with pete Lmfao   jk,Positive
" Yeah, Sabrina..though I keep thinking it`s something else.  Cary Grant ain`t too shabby either. Bringing up Baby",Negative
 you didn`t come to see the hosts at hilton mr. thomas. we spent lots of money for nothing. that`s boring,Negative
So bored.... couldn`t go to a-kon...,Negative
feelin nice after this bottle of bacardi,Positive
 theme tune? Your robin I`m BATMAN!,Neutral
maaaaan last night was a funny night! sad aswell tho,Neutral
the rain bring back some memories,Neutral
 Thanks for sympathy. It wasn`t too bad until about an hour ago when I started thinking of the appointment tomorrow.,Positive
"I woke up with a sore throat  Work tonight. Grad practice in the morning, hanging with family, then GRADUATING FROM HIGH SCHOOL",Negative
ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,Neutral
Tired of hearing stories about everybody going to Ibiza...,Negative
 that was not Venessa that was me..,Neutral
@__Jazz__  nope. Back to 8weeks .... *sigh*,Neutral
"Why do i never get to see my paychecks? It`s not fair, the second i get them they`re gone!",Neutral
new favorite group has to be J*Davey Hi&Low is my ****. why don`t the really flygroups come to Miami hell Florida? And no Rock The Bells,Neutral
 i wish you were in my class last year,Positive
 very very cute  and fun to watch.,Positive
 I feel lost...  I keep running (in my head) from staring faces.. haha. basically:Headache & eyes hurt,Negative
"****, I cut my finger!",Negative
new golf VI TSi 160HP is fast!,Neutral
Again.. check out http://www.myspace.com/therealfunkymonkey  ....these guys rock this one too  ? http://blip.fm/~5jkbc,Positive
 I`m pretty sure my bum shape will still be imprinted there,Positive
lovin` my new blackberry,Positive
home for the night to hang out with my mom and study,Neutral
" AND, We have your fabulous interracial ****!  WOOT!",Positive
Went to see Wolverine with the husband (who is off work today) - was pretty good,Positive
I am sad today,Negative
Anyone to recommend me JP artists with music similar to Soichi Negishi`s Amai Koibito?,Neutral
 - I know! It was drizzling all the way to work!  Hope it warms up this weekend....,Positive
 I cried like a baby when we had to put our cat down 2 years ago...  For tears of happiness watch this http://bit.ly/qLwbe,Positive
has britney spears  songs all over his Desktop now,Neutral
 no one ever gave me the info I`m sad,Negative
Our neighbors cat died!  I really loved him =(,Neutral
is still working  #fb,Neutral
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,Positive
gooooood morning,Positive
but i`m talking to the boy first,Neutral
Off to class .... Longggg day,Negative
Went to mikey`s cousin`s wedding. His mom caught the bouquet.,Neutral
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,Neutral
Rough start to my day.  Taking this one off from DON so as not to spread my bad vibes. Hope you all have a great weekend! I`m outty.,Neutral
this sux but took like 4 minutes. going to sleep finally  http://img36.imageshack.us/img36/4603/iprevailedsig.png,Negative
 - Jonathan can  you get Priscilla Ahn or Raphael Saadiq on your show - they were fab on the Jools Holland show,Positive
 i dont think you can vote anymore! i tried,Negative
_trick It`s all good  The next 6 months are going to be awesome.,Positive
_Milano Hey there  Thought i`d tweet you to say Hi..I have so much to write but theres no space in this little box hehe ****,Neutral
"Im free at last, tomorrow I get to remember what Sundays look like",Positive
pretty tired after a nice full day.,Positive
wants to feel better,Positive
 happy birthday man! my ride to the wedding  i`ll see you guys soon though. you play here JULY 27th!,Positive
"missing my hobo/****/tramp way of life, and cooking for my mother on a saturday night  MAMA I LUV U",Negative
It`s gonna suck being the only sober one tonight,Negative
 I saw an all red Audi on the highway. I sped uo to it hoping it was you. My loss,Negative
 you have to follow me before i can dm ya,Neutral
 Or your mobile doesn`t like me,Negative
 you suck,Negative
Happy Mommy`s Dad Mommy  watching the football  Yay The Eagles Are WINNINGGGGG  they better keep it up *sigh!,Positive
 Yes we both do win!,Positive
" ****, for reals? wtf",Negative
"  Lol  grey skies as far as the eye can see, which is about 20 yards",Neutral
"is excited to be visited by her twin and best friend! dinner, star gazing, and a movie!   // cool http://gykd.net",Positive
92.7 is turning it right about now.,Neutral
  i love them too! they look so cute together,Positive
" yep i am.got back this morning. NFg were fab last night, but i cant go tomorrow   you getting MS ticket soon? 4weeks away",Positive
" Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",Positive
