Sentence,Label,ProcessedSentence
The book is on the table.,Neutral,book table
She likes to drink coffee in the morning.,Neutral,like drink coffee morning
It is raining outside today.,Neutral,rain outside today
He walked to the store yesterday.,Neutral,walk store yesterday
The meeting is scheduled for 3 PM.,Neutral,meeting schedule
Her shoes are on the rack.,Neutral,shoe rack
Tom went to the library to study.,Neutral,tom go library study
The cat slept on the couch.,Neutral,cat sleep couch
Please close the door when you leave.,Neutral,please close door leave
The new restaurant opens next week.,Neutral,new restaurant open next week
The sun rises in the east.,Neutral,sun rise east
John is working from home today.,Neutral,john work home today
The plant needs water.,Neutral,plant need water
His email was received this morning.,Neutral,email receive morning
The car is parked in the garage.,Neutral,car park garage
She bought a new phone.,Neutral,buy new phone
The printer is out of paper.,Neutral,printer paper
We need to buy more milk.,Neutral,need buy milk
His appointment was at 2 PM.,Neutral,appointment
The painting is hanging on the wall.,Neutral,painting hang wall
The package arrived this afternoon.,Neutral,package arrive afternoon
She wore a blue dress to the party.,Neutral,wear blue dress party
The recipe calls for two eggs.,Neutral,recipe call two egg
He visited the museum last Saturday.,Neutral,visit museum last saturday
The street is busy during rush hour.,Neutral,street busy rush hour
The laptop is charging on the desk.,Neutral,laptop charge desk
The bakery is closed on Mondays.,Neutral,bakery close monday
She reads books before bed.,Neutral,read book bed
The flight was delayed by an hour.,Neutral,flight delay hour
He had a sandwich for lunch.,Neutral,sandwich lunch
The alarm went off at 7 AM.,Neutral,alarm go
The store has a sale on shoes.,Neutral,store sale shoe
She enjoys watching movies on weekends.,Neutral,enjoy watch movie weekend
The dog needs to go outside.,Neutral,dog need go outside
The gym is located on Main Street.,Neutral,gym locate main street
He forgot to bring his keys.,Neutral,forget bring key
The concert starts at 8 PM.,Neutral,concert start
She likes to cook Italian food.,Neutral,like cook italian food
The traffic was light this morning.,Neutral,traffic light morning
The website is down for maintenance.,Neutral,website maintenance
He took a photo of the sunset.,Neutral,take photo sunset
The coffee machine is broken.,Neutral,coffee machine break
She met her friend for coffee.,Neutral,meet friend coffee
The project deadline is next Friday.,Neutral,project deadline next friday
The garden needs weeding.,Neutral,garden need weed
He received a birthday card.,Neutral,receive birthday card
Her favorite color is green.,Neutral,favorite color green
The event was held in the conference room.,Neutral,event hold conference room
He wears glasses for reading.,Neutral,wear glass read
The clock on the wall is broken.,Neutral,clock wall break
The email was sent successfully.,Neutral,email send successfully
She prefers tea over coffee.,Neutral,prefer tea coffee
The phone call was brief.,Neutral,phone call brief
He likes to play video games.,Neutral,like play video game
The sky is clear and blue.,Neutral,sky clear blue
The dress was on sale.,Neutral,dress sale
He went for a run in the park.,Neutral,go run park
She watered the plants this morning.,Neutral,water plant morning
The car needs an oil change.,Neutral,car need oil change
The presentation was informative.,Neutral,presentation informative
He enjoys hiking on weekends.,Neutral,enjoy hike weekend
The ticket was purchased online.,Neutral,ticket purchase online
She listens to music while working.,Neutral,listen music work
The book is available at the library.,Neutral,book available library
The mail has not arrived yet.,Neutral,mail not arrive yet
He took a day off from work.,Neutral,take day work
She finished reading the novel.,Neutral,finish read novel
The meeting room is on the second floor.,Neutral,meeting room second floor
He likes to cook dinner at home.,Neutral,like cook dinner home
The street lights are on.,Neutral,street light
She bought groceries this afternoon.,Neutral,buy grocery afternoon
The game starts at 6 PM.,Neutral,game start
He went to bed early last night.,Neutral,go bed early last night
The weather is warm today.,Neutral,weather warm today
She went shopping for clothes.,Neutral,go shop clothe
The conference was well organized.,Neutral,conference well organize
The bus was late this morning.,Neutral,bus late morning
He found a new recipe to try.,Neutral,find new recipe try
She enjoys taking long walks.,Neutral,enjoy take long walk
The television is turned off.,Neutral,television turn
The restaurant is busy at lunch.,Neutral,restaurant busy lunch
He received a package yesterday.,Neutral,receive package yesterday
She has a meeting at noon.,Neutral,meeting noon
The gym membership is on sale.,Neutral,gym membership sale
He needs to finish his report.,Neutral,need finish report
The clock shows the correct time.,Neutral,clock show correct time
She likes to read mystery novels.,Neutral,like read mystery novel
The phone was out of battery.,Neutral,phone battery
He arrived at the airport on time.,Neutral,arrive airport time
The news is on at 6 PM.,Neutral,news
She organized her desk today.,Neutral,organize desk today
The coffee shop is near the park.,Neutral,coffee shop near park
He sent a thank-you note.,Neutral,send thankyou note
The car keys are on the table.,Neutral,car key table
She watched a documentary last night.,Neutral,watch documentary last night
The plant is growing well.,Neutral,plant grow well
He finished his homework early.,Neutral,finish homework early
The store is open until 9 PM.,Neutral,store open
She made a reservation for dinner.,Neutral,make reservation dinner
The room is clean and tidy.,Neutral,room clean tidy
He called his friend to chat.,Neutral,call friend chat
The printer is working now.,Neutral,printer work
She visited the art gallery.,Neutral,visit art gallery
The bakery has fresh bread.,Neutral,bakery fresh bread
He walked his dog in the morning.,Neutral,walk dog morning
The movie tickets were bought online.,Neutral,movie ticket buy online
She finished her assignment.,Neutral,finish assignment
The mailbox is empty.,Neutral,mailbox empty
He attended the workshop yesterday.,Neutral,attend workshop yesterday
The house has a new coat of paint.,Neutral,house new coat paint
She went to a yoga class.,Neutral,go yoga class
The park is a good place to relax.,Neutral,park good place relax
He enjoys cooking new recipes.,Neutral,enjoy cook new recipe
The refrigerator is full of groceries.,Neutral,refrigerator full grocery
She bought a new lamp for the living room.,Neutral,buy new lamp living room
The concert was enjoyable.,Neutral,concert enjoyable
He had a smoothie for breakfast.,Neutral,smoothie breakfast
The lights in the hallway are on.,Neutral,light hallway
She plans to go for a run tomorrow.,Neutral,plan go run tomorrow
The restaurant has a good menu.,Neutral,restaurant good menu
He forgot his umbrella at home.,Neutral,forget umbrella home
The television is on the wall.,Neutral,television wall
She made a list of things to do.,Neutral,make list thing
The traffic was heavy during rush hour.,Neutral,traffic heavy rush hour
He picked up his dry cleaning.,Neutral,pick dry cleaning
The park is a good place for picnics.,Neutral,park good place picnic
She called her mother this morning.,Neutral,call mother morning
The refrigerator needs to be cleaned.,Neutral,refrigerator need clean
He put his shoes in the closet.,Neutral,put shoe closet
The bookstore has a sale on novels.,Neutral,bookstore sale novel
She went to a cooking class.,Neutral,go cooking class
The curtains are blue.,Neutral,curtain blue
He updated his resume.,Neutral,update resume
The park is quiet in the evenings.,Neutral,park quiet evening
She bought a new bookcase.,Neutral,buy new bookcase
The car needs to be washed.,Neutral,car need wash
He went to the doctor for a check-up.,Neutral,go doctor checkup
The garden has a new flower bed.,Neutral,garden new flower bed
She visited her friend in the hospital.,Neutral,visit friend hospital
The new phone was delivered yesterday.,Neutral,new phone deliver yesterday
He made coffee in the morning.,Neutral,make coffee morning
The bus stop is across the street.,Neutral,bus stop across street
She took a break from work.,Neutral,take break work
The window needs to be cleaned.,Neutral,window need clean
He brought snacks for the meeting.,Neutral,bring snack meeting
The kitchen counter is cluttered.,Neutral,kitchen counter cluttered
She attended a seminar last week.,Neutral,attend seminar last week
The air conditioner is working.,Neutral,air conditioner work
He received a compliment on his presentation.,Neutral,receive compliment presentation
The driveway needs to be repaved.,Neutral,driveway need repave
She enjoys painting in her free time.,Neutral,enjoy paint free time
